dataset,norm_mode,algorithm,run,seed,gamma,acc,nmi,ari,runtime_s
glass+identification,center,kmeans,1,42,,54.2056,42.6463,27.3885,0.0176
glass+identification,center,kmeans,2,43,,54.2056,39.8524,24.7080,0.0012
glass+identification,center,kmeans,3,44,,52.3364,37.7644,26.3100,0.0012
glass+identification,center,kmeans,4,45,,54.2056,39.9562,26.3758,0.0010
glass+identification,center,kmeans,5,46,,54.6729,38.5140,26.1768,0.0010
glass+identification,center,diskmeans,1,42,10000.0,53.7383,42.3128,27.1202,0.0028
glass+identification,center,diskmeans,2,43,10000.0,52.3364,38.4887,26.5571,0.0024
glass+identification,center,diskmeans,3,44,10000.0,54.2056,42.7716,27.0195,0.0029
glass+identification,center,diskmeans,4,45,10000.0,52.3364,39.2266,26.7385,0.0027
glass+identification,center,diskmeans,5,46,10000.0,46.2617,35.6170,20.9592,0.0019
glass+identification,center,fdkm,1,42,10000.0,54.2056,42.7716,27.0195,0.0208
glass+identification,center,fdkm,2,43,10000.0,52.3364,38.8606,26.0825,0.0262
glass+identification,center,fdkm,3,44,10000.0,52.3364,38.8606,26.0825,0.0134
glass+identification,center,fdkm,4,45,10000.0,54.2056,42.7716,27.0195,0.0131
glass+identification,center,fdkm,5,46,10000.0,54.2056,42.7716,27.0195,0.0161
glass+identification,center,ifdkm,1,42,10000.0,54.2056,42.2808,28.0876,0.0205
glass+identification,center,ifdkm,2,43,10000.0,53.2710,35.8499,24.1375,0.0208
glass+identification,center,ifdkm,3,44,10000.0,54.2056,42.7716,27.0195,0.0303
glass+identification,center,ifdkm,4,45,10000.0,52.3364,38.8772,26.8519,0.0409
glass+identification,center,ifdkm,5,46,10000.0,53.7383,42.4370,26.7519,0.0229
glass+identification,center,ifdfd,1,42,10000.0,54.2056,42.7716,27.0195,0.0301
glass+identification,center,ifdfd,2,43,10000.0,52.3364,38.8772,26.8519,0.0441
glass+identification,center,ifdfd,3,44,10000.0,54.2056,42.7716,27.0195,0.0344
glass+identification,center,ifdfd,4,45,10000.0,52.3364,38.8772,26.8519,0.0413
glass+identification,center,ifdfd,5,46,10000.0,54.2056,42.7716,27.0195,0.0468
glass+identification,standardize,kmeans,1,42,,43.4579,30.5413,16.7988,0.0120
glass+identification,standardize,kmeans,2,43,,46.2617,31.8751,17.4982,0.0106
